Refno Claim,Claim Registration Date,Repair Date,Repairing Dealer,State,Job Number,Vehicle Marketing Type,Product Id,Causal Part Number,Causal Part Name,Function Group 4 Digits,Fgrp 4 Digits Description,Chassis Number,Vehicle Registration Number,Vehicle Mileage On Claim (km),Number OfRepairs,Total Labor Payment Local,Total Material Payment Local,Total Other Payment Local,Total Payment Local,Total_Payment,Company,Delivery Importer,Credit Date,Debit Code,Credit Period,Model_,Year
138226,,7/08/2015,600828,SA,1,FH13 64T,,20545485,"DIAPHRAGM, DIFF. LOCK",4684,,136095,,536503,,54.5,68.3,0,122.8,122.8,,,42229,9,42217,FH13,2015
2003857,,31/07/2015,880625,VIC,1,FH13 64T,,21302639,"PRESSURE SENSOR, FUEL/OIL",2846,,136110,,188868,,218.7,178.41,0,397.11,397.11,,,42243,9,42217,FH13,2015
2003600,,10/06/2015,880625,VIC,1,FH13 64T,,22312634,"PISTON, MULTI-DISC BRAKE, ASSY",4319,,136140,,498001,,364.5,144.65,0,509.15,509.15,,,42215,9,42186,FH13,2015
7981171,,9/07/2015,93351,QLD,2,FH13 64T,,20910779,"EXHAUST MANIFOLD, FRONT AND REAR",2515,,136259,,372180,,274.25,246.48,330,850.73,850.73,,,42215,9,42186,FH13,2015
415956,,27/07/2015,542457,WA,1,FH13 64T,,20508112,"EXHAUST MANIFOLD, WITH TURBO FLANGE",2511,,136305,,434089,,315.9,206.32,237.5,759.72,759.72,,,42215,9,42186,FH13,2015
416137,,20/08/2015,542457,WA,1,FH13 64T,,21634021,"PRESSURE SENSOR, FUEL / OIL PRESSURE",2846,,136306,,413618,,0,203.24,0,203.24,203.24,,,42243,9,42217,FH13,2015
132855,,9/07/2015,93385,NSW,1,FH13 64T,,21207126,"FLYWHEEL HOUSING, ASSY",2125,,136345,,322491,,1482.3,5144.72,260,6887.02,6887.02,,,42215,9,42186,FH13,2015
132855,,9/07/2015,93385,NSW,3,FH13 64T,,20784537,"GASKET, TURBOCHARGER",2552,,136345,,322491,,218.7,69.32,0,288.02,288.02,,,42215,9,42186,FH13,2015
133022,,18/08/2015,93385,NSW,1,FH13 64T,,21634017,"PRESSURE SENSOR, CRANKCASE PRESSURE",2846,,136396,,525428,,182.25,178.41,0,360.66,360.66,,,42243,9,42217,FH13,2015
133022,,18/08/2015,93385,NSW,2,FH13 64T,,21634017,"PRESSURE SENSOR, CRANKCASE PRESSURE",2846,,136396,,525428,,48.6,0,41.16,89.76,89.76,,,42243,9,42217,FH13,2015
2003615,,2/07/2015,880625,VIC,2,FH13 64T,,20864662,VALVE SEAL,2149,,136397,,356914,,1154.25,2084.26,2300,5538.51,5538.51,,,42215,9,42186,FH13,2015
2003615,,2/07/2015,880625,VIC,1,FH13 64T,,20508112,"EXHAUST MANIFOLD, WITH TURBO FLANGE",2511,,136397,,356914,,279.45,149.94,360,789.39,789.39,,,42215,9,42186,FH13,2015
415657,,4/06/2015,542457,WA,1,FH13 64T,,20993930,"TURBOCHARGER, HX555W-D98K68RAV",2551,,136403,,448720,,303.75,6013.59,0,6317.34,6317.34,,,42215,9,42186,FH13,2015
7979323,,6/06/2015,70287,WA,2,FH13 64T,,21637266,"ROCKER ARM, INLET",2145,,136414,,343279,,631.62,4717.27,0,5348.89,5348.89,,,42215,9,42186,FH13,2015
7979323,,6/06/2015,70287,WA,4,FH13 64T,,21383310,"GASKET, TIMING GEAR COVER",2152,,136414,,343279,,174.24,168.99,0,343.23,343.23,,,42215,9,42186,FH13,2015
7979323,,6/06/2015,70287,WA,3,FH13 64T,,22095518,"OIL FILTER HOUSING, THERMAL MANAGEMENT",2222,,136414,,343279,,163.35,1449.22,0,1612.57,1612.57,,,42215,9,42186,FH13,2015
7979323,,6/06/2015,70287,WA,5,FH13 64T,,21479276,"BELT TENSIONER, 10K, D=74, L=90, T=37NM",2634,,136414,,343279,,0,192.4,0,192.4,192.4,,,42215,9,42186,FH13,2015
7979323,,6/06/2015,70287,WA,6,FH13 64T,,21766717,"IDLER PULLEY, 10K, DOB 74",2634,,136414,,343279,,65.34,192.4,0,257.74,257.74,,,42215,9,42186,FH13,2015
133021,,11/08/2015,93385,NSW,1,FH13 64T,,21634017,"PRESSURE SENSOR, CRANKCASE PRESSURE",2846,,136430,,542369,,182.25,178.41,0,360.66,360.66,,,42243,9,42217,FH13,2015
2003782,,23/07/2015,880625,VIC,2,FH13 64T,,21902664,"CONTROL VALVE, PISTON COOLING JET 24V",2229,,136436,,489282,,72.9,207.04,0,279.94,279.94,,,42229,9,42217,FH13,2015
2003766,,20/07/2015,880625,VIC,1,FH13 64T,,21356266,"CONTROL VALVE, THERMOSTAT 24V",2229,,136436,,488751,,72.9,295.8,0,368.7,368.7,,,42229,9,42217,FH13,2015
2003766,,20/07/2015,880625,VIC,2,FH13 64T,,21634021,"PRESSURE SENSOR, FUEL / OIL PRESSURE",2846,,136436,,488751,,182.25,203.24,0,385.49,385.49,,,42229,9,42217,FH13,2015
8687,,19/06/2015,85993,QLD,1,FH13 64T,,20995620,"CONTROL UNIT, EMS 2.2 MIN ""I"", COMPLETE",2841,,136460,,224740,,0,0,130.34,130.34,130.34,,,42229,9,42217,FH13,2015
