Repairing Dealer,Claim Registration Date,Total Labor Payment Local,Total Material Payment Local,Total Other Payment Local,Total Payment Local,Total_Payment
542457.0,,218.7,103.27,0.0,321.97,321.97
70287.0,,1785.96,6493.52,0.0,8279.48,8279.48
542457.0,,48.6,68.3,0.0,116.9,116.9
552993.0,,922.5,100.86,0.0,1023.36,1023.36
93385.0,,1761.75,2118.28,0.0,3880.03,3880.03
93385.0,,352.35,5053.52,0.0,5405.87,5405.87
93351.0,,258.12,1062.42,0.0,1320.54,1320.54
552993.0,,990.0,351.72,0.0,1341.72,1341.72
600828.0,,54.5,0.0,297.83,352.33,352.33
600828.0,,0.0,380.59,0.0,380.59,380.59
600828.0,,68.13,48.13,0.0,116.26,116.26
600828.0,,81.76,112.94,0.0,194.7,194.7
93385.0,,170.1,225.49,0.0,395.59,395.59
788051.0,,287.1,398.46,0.0,685.56,685.56
691188.0,,2049.6,689.69,0.0,2739.29,2739.29
691188.0,,207.4,296.92,0.0,504.32,504.32
691188.0,,878.4,189.31,0.0,1067.71,1067.71
691188.0,,48.8,34.76,0.0,83.56,83.56
480274.0,,269.1,307.13,340.0,916.23,916.23
601571.0,,204.39,90.8,0.0,295.19,295.19
601571.0,,0.0,93.92,0.0,93.92,93.92
511728.0,,132.3,447.3,0.0,579.6,579.6
92767.0,,195.2,691.03,0.0,886.23,886.23
92767.0,,61.0,178.41,0.0,239.41,239.41
600828.0,,1321.72,476.77,0.0,1798.49,1798.49
89540.0,,81.0,254.13,0.0,335.13,335.13
788051.0,,168.3,203.01,0.0,371.31,371.31
788051.0,,742.5,5258.71,0.0,6001.21,6001.21
788051.0,,39.6,139.8,0.0,179.4,179.4
788051.0,,158.4,224.37,0.0,382.77,382.77
92767.0,,73.2,192.4,0.0,265.6,265.6
92767.0,,73.2,192.4,0.0,265.6,265.6
92767.0,,122.0,103.72,0.0,225.72,225.72
92767.0,,146.4,93.92,0.0,240.32,240.32
92767.0,,292.8,1062.42,0.0,1355.22,1355.22
542457.0,,328.05,178.41,0.0,506.46,506.46
880625.0,,1433.7,395.66,0.0,1829.36,1829.36
880625.0,,0.0,1058.52,0.0,1058.52,1058.52
880625.0,,170.1,1636.31,0.0,1806.41,1806.41
880625.0,,121.5,224.37,0.0,345.87,345.87
880625.0,,97.2,637.77,0.0,734.97,734.97
880625.0,,60.75,93.92,0.0,154.67,154.67
691188.0,,12.2,14.2,0.0,26.4,26.4
542457.0,,157.95,194.87,0.0,352.82,352.82
691188.0,,207.4,723.14,0.0,930.54,930.54
93385.0,,48.6,127.57,0.0,176.17,176.17
93385.0,,741.15,5053.11,0.0,5794.26,5794.26
93385.0,,121.5,224.37,0.0,345.87,345.87
691188.0,,524.6,1021.56,0.0,1546.16,1546.16
691188.0,,134.2,670.09,0.0,804.29,804.29
788051.0,,742.5,5005.36,0.0,5747.86,5747.86
788051.0,,89.1,68.3,0.0,157.4,157.4
52589.0,,218.4,1077.57,0.0,1295.97,1295.97
788051.0,,188.1,1607.38,0.0,1795.48,1795.48
788051.0,,39.6,68.3,0.0,107.9,107.9
601578.0,,286.14,413.92,0.0,700.06,700.06
880625.0,,109.35,1760.54,0.0,1869.89,1869.89
691188.0,,73.2,252.54,0.0,325.74,325.74
691188.0,,622.2,942.96,0.0,1565.16,1565.16
691188.0,,73.2,637.77,0.0,710.97,710.97
691188.0,,195.2,0.0,0.0,195.2,195.2
691188.0,,61.0,0.0,0.0,61.0,61.0
691188.0,,671.0,5110.9,0.0,5781.9,5781.9
788051.0,,168.3,42.7,0.0,211.0,211.0
600828.0,,177.13,224.37,0.0,401.5,401.5
600828.0,,81.76,192.4,0.0,274.16,274.16
600828.0,,81.76,192.4,0.0,274.16,274.16
600828.0,,149.88,178.41,0.0,328.29,328.29
600828.0,,136.26,260.7,0.0,396.96,396.96
601571.0,,204.39,90.8,0.0,295.19,295.19
601571.0,,0.0,93.92,0.0,93.92,93.92
601571.0,,313.4,637.52,300.0,1250.92,1250.92
601571.0,,81.76,192.4,0.0,274.16,274.16
70287.0,,1829.52,830.3,15.62,2675.44,2675.44
70287.0,,152.46,2109.59,0.0,2262.05,2262.05
691188.0,,195.2,145.19,0.0,340.39,340.39
542457.0,,218.7,2653.41,0.0,2872.11,2872.11
70287.0,,370.26,1496.43,0.0,1866.69,1866.69
70287.0,,119.79,413.66,0.0,533.45,533.45
70287.0,,98.01,203.24,0.0,301.25,301.25
92767.0,,207.4,2103.01,0.0,2310.41,2310.41
691188.0,,488.0,373.05,0.0,861.05,861.05
691188.0,,1268.8,488.26,0.0,1757.06,1757.06
235191.0,,108.9,179.01,0.0,287.91,287.91
